Date : 2024-10-16 09:04:09
Directory : e:\ECIC6\frontend\emss-ui-admin-vue3\src
Total : 1536 files,  281763 codes, 8803 comments, 12883 blanks, all 303449 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| api\infra\codegen                                                                                                                  |          2 |         96 |         11 |         15 |        122 |
| api\infra\config                                                                                                                   |          2 |         35 |          7 |         10 |         52 |
| api\infra\dataSourceConfig                                                                                                         |          2 |         29 |          6 |          7 |         42 |
| api\infra\dbDoc                                                                                                                    |          1 |         11 |          3 |          5 |         19 |
| api\infra\fileConfig                                                                                                               |          2 |         47 |          7 |         10 |         64 |
| api\infra\fileList                                                                                                                 |          2 |         16 |          2 |          5 |         23 |
| api\infra\job                                                                                                                      |          2 |         45 |          9 |         12 |         66 |
| api\infra\jobLog                                                                                                                   |          2 |         27 |          3 |          6 |         36 |
| api\infra\redis                                                                                                                    |          2 |        212 |          9 |          9 |        230 |
| api\login                                                                                                                          |          2 |        132 |         20 |         22 |        174 |
| api\mast                                                                                                                           |         50 |      1,546 |        197 |        325 |      2,068 |
| api\mast\ambConfig                                                                                                                 |          2 |         42 |          6 |         11 |         59 |
| api\mast\ambConfigEquip                                                                                                            |          2 |         45 |          6 |         11 |         62 |
| api\mast\ambulance                                                                                                                 |          2 |        122 |         24 |         22 |        168 |
| api\mast\city                                                                                                                      |          2 |         52 |          7 |         12 |         71 |
| api\mast\county                                                                                                                    |          2 |         49 |          7 |         12 |         68 |
| api\mast\department                                                                                                                |          2 |         77 |          8 |         15 |        100 |
| api\mast\eciCenter                                                                                                                 |          2 |         46 |          7 |         12 |         65 |
| api\mast\eciTeam                                                                                                                   |          2 |         39 |          6 |         11 |         56 |
| api\mast\eciTeamMember                                                                                                             |          2 |         37 |          7 |         12 |         56 |
| api\mast\emsCenter                                                                                                                 |          2 |         73 |          9 |         14 |         96 |
| api\mast\emsFacility                                                                                                               |          2 |         62 |          6 |         11 |         79 |
| api\mast\emsHazard                                                                                                                 |          2 |         62 |          6 |         11 |         79 |
| api\mast\emsOrg                                                                                                                    |          2 |         53 |          7 |         12 |         72 |
| api\mast\emsPartner                                                                                                                |          2 |         56 |          7 |         12 |         75 |
| api\mast\emsStation                                                                                                                |          2 |         59 |          9 |         14 |         82 |
| api\mast\emsVolunteer                                                                                                              |          2 |         61 |          6 |         11 |         78 |
| api\mast\equipCatalog                                                                                                              |          2 |         42 |          7 |         12 |         61 |
| api\mast\hosGroup                                                                                                                  |          2 |         54 |          7 |         14 |         75 |
| api\mast\hosGrpMember                                                                                                              |          2 |         50 |          9 |         15 |         74 |
| api\mast\hospital                                                                                                                  |          2 |        135 |          8 |         11 |        154 |
| api\mast\moh                                                                                                                       |          2 |         90 |          8 |         16 |        114 |
| api\mast\province                                                                                                                  |          2 |         70 |          8 |         15 |         93 |
| api\mast\staff                                                                                                                     |          2 |         69 |          8 |         15 |         92 |
| api\mast\town                                                                                                                      |          2 |         52 |          7 |         12 |         71 |
| api\mast\village                                                                                                                   |          2 |         49 |          7 |         12 |         68 |
| api\meta                                                                                                                           |         56 |      1,539 |        193 |        331 |      2,063 |
| api\meta\charts                                                                                                                    |          2 |         59 |          6 |         12 |         77 |
| api\meta\chartsDetail                                                                                                              |          2 |         66 |          6 |         13 |         85 |
| api\meta\chartsSeries                                                                                                              |          2 |         70 |          6 |         12 |         88 |
| api\meta\dataDomain                                                                                                                |          2 |         39 |          7 |         11 |         57 |
| api\meta\dataElement                                                                                                               |          2 |         55 |         12 |         14 |         81 |
| api\meta\dataSet                                                                                                                   |          2 |         44 |          7 |         12 |         63 |
| api\meta\dataSetDetail                                                                                                             |          2 |         63 |          8 |         13 |         84 |
| api\meta\diagnosis                                                                                                                 |          2 |         50 |          8 |         10 |         68 |
| api\meta\dictionary                                                                                                                |          2 |         44 |          8 |         12 |         64 |
| api\meta\dictionaryItem                                                                                                            |          2 |         71 |          7 |         11 |         89 |
| api\meta\labTest                                                                                                                   |          2 |         50 |          6 |         11 |         67 |
| api\meta\medication                                                                                                                |          2 |         45 |          6 |         11 |         62 |
| api\meta\orderSet                                                                                                                  |          2 |         40 |          6 |         12 |         58 |
| api\meta\orderSetDetail                                                                                                            |          2 |         60 |          8 |         14 |         82 |
| api\meta\score                                                                                                                     |          2 |         58 |          7 |         12 |         77 |
| api\meta\scoreItem                                                                                                                 |          2 |         41 |          7 |         12 |         60 |
| api\meta\scoreOption                                                                                                               |          2 |         39 |          6 |         11 |         56 |
| api\meta\scoreResult                                                                                                               |          2 |         54 |          7 |         12 |         73 |
| api\meta\treatOrderSet                                                                                                             |          2 |         60 |          9 |         15 |         84 |
| api\meta\treatment                                                                                                                 |          2 |         83 |          6 |         12 |        101 |
| api\meta\valuation                                                                                                                 |          2 |         57 |          6 |         11 |         74 |
| api\meta\valuationAlert                                                                                                            |          2 |         71 |          8 |         13 |         92 |
| api\meta\valuationItem                                                                                                             |          2 |         65 |          6 |         11 |         82 |
| api\meta\valuationPart                                                                                                             |          2 |         59 |          6 |         11 |         76 |
| api\meta\valuationSection                                                                                                          |          2 |         52 |          6 |         11 |         69 |
| api\meta\valuationTreat                                                                                                            |          2 |         50 |          6 |         11 |         67 |
| api\meta\vitalSign                                                                                                                 |          2 |         52 |          6 |         11 |         69 |
| api\meta\vitalSignType                                                                                                             |          2 |         42 |          6 |         10 |         58 |
| api\pay                                                                                                                            |         10 |        218 |         34 |         48 |        300 |
| api\pay\app                                                                                                                        |          2 |         42 |          8 |         11 |         61 |
| api\pay\channel                                                                                                                    |          2 |         37 |          6 |          9 |         52 |
| api\pay\merchant                                                                                                                   |          2 |         45 |          8 |         10 |         63 |
| api\pay\order                                                                                                                      |          2 |         47 |          6 |          9 |         62 |
| api\pay\refund                                                                                                                     |          2 |         47 |          6 |          9 |         62 |
| api\phm                                                                                                                            |        105 |      3,548 |        496 |        633 |      4,677 |
| api\phm\bizAmbuDisinfect                                                                                                           |          2 |         61 |          6 |         11 |         78 |
| api\phm\bizAmbuLocation                                                                                                            |          2 |         63 |          8 |         13 |         84 |
| api\phm\bizAmluDeviceMatch                                                                                                         |          2 |         44 |          6 |         11 |         61 |
| api\phm\bizCase                                                                                                                    |          1 |         11 |          3 |          1 |         15 |
| api\phm\bizDuty                                                                                                                    |          2 |         55 |          8 |         15 |         78 |
| api\phm\bizEmergency                                                                                                               |          2 |        204 |          8 |         11 |        223 |
| api\phm\bizEmergencyPatient                                                                                                        |          2 |        104 |          8 |         13 |        125 |
| api\phm\bizEmergencyReferral                                                                                                       |          2 |        127 |          9 |         17 |        153 |
| api\phm\bizEmergencyTreat                                                                                                          |          2 |         42 |          4 |          7 |         53 |
| api\phm\bizEmergencyUnit                                                                                                           |          2 |         84 |         14 |          8 |        106 |
| api\phm\bizEmergencyWorking                                                                                                        |          2 |         26 |          4 |          5 |         35 |
| api\phm\bizPatient                                                                                                                 |          2 |        159 |         20 |         20 |        199 |
| api\phm\bizPatientAgreement                                                                                                        |          2 |         68 |         12 |         14 |         94 |
| api\phm\bizPatientAppointment                                                                                                      |          2 |         80 |          7 |         12 |         99 |
| api\phm\bizPatientCare                                                                                                             |          2 |         53 |          6 |         11 |         70 |
| api\phm\bizPatientCpr                                                                                                              |          1 |          8 |          2 |          4 |         14 |
| api\phm\bizPatientDashboard                                                                                                        |          1 |         85 |         15 |          3 |        103 |
| api\phm\bizPatientDiagnosis                                                                                                        |          2 |         71 |         18 |         16 |        105 |
| api\phm\bizPatientExtinfo                                                                                                          |          2 |         55 |          8 |         13 |         76 |
| api\phm\bizPatientHistory                                                                                                          |          1 |          8 |          2 |          4 |         14 |
| api\phm\bizPatientImage                                                                                                            |          2 |         68 |         16 |         21 |        105 |
| api\phm\bizPatientInfo                                                                                                             |          2 |         96 |          8 |         11 |        115 |
| api\phm\bizPatientMedication                                                                                                       |          2 |         58 |          9 |         13 |         80 |
| api\phm\bizPatientModifyRecord                                                                                                     |          1 |          8 |          1 |          1 |         10 |
| api\phm\bizPatientOrder                                                                                                            |          1 |         95 |         18 |         20 |        133 |
| api\phm\bizPatientReferral                                                                                                         |          2 |        104 |         10 |         12 |        126 |
| api\phm\bizPatientScore                                                                                                            |          2 |         41 |          7 |         12 |         60 |
| api\phm\bizPatientScoreItem                                                                                                        |          2 |         56 |          7 |         12 |         75 |
| api\phm\bizPatientTime                                                                                                             |          2 |         43 |          9 |         13 |         65 |
| api\phm\bizPatientTreatment                                                                                                        |          2 |         62 |          8 |         13 |         83 |
| api\phm\bizPatientTriage                                                                                                           |          1 |          5 |          1 |          3 |          9 |
| api\phm\bizPatientValuation                                                                                                        |          2 |         68 |         13 |         18 |         99 |
| api\phm\bizPatientVitalsign                                                                                                        |          2 |         91 |         14 |         16 |        121 |
| api\phm\bizPrintCode                                                                                                               |          2 |         56 |          6 |         11 |         73 |
| api\phm\bizRequest                                                                                                                 |          2 |         60 |          8 |         12 |         80 |
| api\phm\bizTalsListView                                                                                                            |          2 |         57 |          4 |          6 |         67 |
| api\phm\bizTask                                                                                                                    |          2 |        118 |         19 |         20 |        157 |
| api\phm\bizTaskAmbulance                                                                                                           |          2 |        104 |         17 |         16 |        137 |
| api\phm\bizTaskQuery                                                                                                               |          2 |         33 |          7 |         10 |         50 |
| api\phm\bizTastExitnspection                                                                                                       |          2 |         10 |          2 |          3 |         15 |
| api\phm\bizThreshold                                                                                                               |          1 |          8 |          2 |          4 |         14 |
| api\phm\bizTransitPatients                                                                                                         |          1 |         43 |          7 |          6 |         56 |
| api\phm\dicEmergencyType                                                                                                           |          2 |         50 |          9 |         14 |         73 |
| api\phm\dicEmsBeacon                                                                                                               |          2 |         50 |          6 |         11 |         67 |
| api\phm\dicEmsDevice                                                                                                               |          2 |         62 |          9 |         13 |         84 |
| api\phm\dicKnowledgeBase                                                                                                           |          2 |         51 |          7 |         12 |         70 |
| api\phm\dicParser                                                                                                                  |          2 |         48 |          6 |         11 |         65 |
| api\phm\dicParserText                                                                                                              |          2 |         42 |          7 |         12 |         61 |
| api\phm\dicPatientBase                                                                                                             |          2 |         61 |          6 |         11 |         78 |
| api\phm\dicPatientExtinfo                                                                                                          |          2 |         59 |          7 |         11 |         77 |
| api\phm\dicPatientValuation                                                                                                        |          2 |         51 |          6 |         11 |         68 |
| api\phm\dicTaskTime                                                                                                                |          2 |         42 |          6 |         11 |         59 |
| api\phm\dicTemplates                                                                                                               |          2 |         63 |          6 |         11 |         80 |
| api\phm\dicTemplatesType                                                                                                           |          2 |         42 |          6 |         10 |         58 |
| api\phm\mdtChatRecord                                                                                                              |          2 |        108 |         33 |         14 |        155 |
| api\phm\mdtGroupMember                                                                                                             |          2 |         88 |         11 |         13 |        112 |
| api\phm\mdtGroupPeopleManagement                                                                                                   |          2 |         39 |         10 |          6 |         55 |
| api\screening                                                                                                                      |          1 |         26 |          8 |          1 |         35 |
| api\settings                                                                                                                       |          2 |         60 |          6 |         11 |         77 |
| api\settings\aed                                                                                                                   |          2 |         60 |          6 |         11 |         77 |
| api\shine                                                                                                                          |          1 |         61 |         11 |         15 |         87 |
| api\stroke                                                                                                                         |          1 |        104 |         42 |         15 |        161 |
| api\system                                                                                                                         |         50 |        967 |        153 |        231 |      1,351 |
| api\system (Files)                                                                                                                 |          1 |         10 |          2 |          4 |         16 |
| api\system\bizApiToken                                                                                                             |          2 |         37 |          6 |         11 |         54 |
| api\system\configuration                                                                                                           |          2 |         58 |          8 |         13 |         79 |
| api\system\dept                                                                                                                    |          2 |         35 |          6 |         10 |         51 |
| api\system\dicApiToken                                                                                                             |          2 |         35 |          6 |         11 |         52 |
| api\system\dict                                                                                                                    |          3 |         90 |         14 |         21 |        125 |
| api\system\errorCode                                                                                                               |          2 |         30 |          6 |          8 |         44 |
| api\system\loginLog                                                                                                                |          2 |         19 |          2 |          4 |         25 |
| api\system\logo                                                                                                                    |          2 |         51 |          7 |         12 |         70 |
| api\system\menu                                                                                                                    |          2 |         37 |          6 |          8 |         51 |
| api\system\notice                                                                                                                  |          2 |         30 |          5 |          8 |         43 |
| api\system\oauth2                                                                                                                  |          4 |         56 |          7 |         13 |         76 |
| api\system\operatelog                                                                                                              |          2 |         30 |          2 |          4 |         36 |
| api\system\permission                                                                                                              |          2 |         42 |          7 |         10 |         59 |
| api\system\post                                                                                                                    |          2 |         43 |          7 |         11 |         61 |
| api\system\role                                                                                                                    |          2 |         36 |          8 |         11 |         55 |
| api\system\sensitiveWord                                                                                                           |          2 |         36 |          8 |         11 |         55 |
| api\system\sms                                                                                                                     |          6 |         96 |         16 |         24 |        136 |
| api\system\sms\smsChannel                                                                                                          |          2 |         31 |          6 |          9 |         46 |
| api\system\sms\smsLog                                                                                                              |          2 |         17 |          2 |          5 |         24 |
| api\system\sms\smsTemplate                                                                                                         |          2 |         48 |          8 |         10 |         66 |
| api\system\tenant                                                                                                                  |          2 |         35 |          6 |          9 |         50 |
