Date : 2024-10-16 09:04:09
Directory : e:\ECIC6\frontend\emss-ui-admin-vue3\src
Total : 1536 files,  281763 codes, 8803 comments, 12883 blanks, all 303449 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\mast\staff\index.ts                                                                   | TypeScript     |         34 |          8 |         12 |         54 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\mast\staff\types.ts                                                                   | TypeScript     |         35 |          0 |          3 |         38 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\mast\town\index.ts                                                                    | TypeScript     |         24 |          7 |          9 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\mast\town\types.ts                                                                    | TypeScript     |         28 |          0 |          3 |         31 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\mast\village\index.ts                                                                 | TypeScript     |         24 |          7 |          9 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\mast\village\types.ts                                                                 | TypeScript     |         25 |          0 |          3 |         28 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\chartsDetail\index.ts                                                            | TypeScript     |         33 |          6 |         10 |         49 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\chartsDetail\types.ts                                                            | TypeScript     |         33 |          0 |          3 |         36 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\chartsSeries\index.ts                                                            | TypeScript     |         31 |          6 |          9 |         46 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\chartsSeries\types.ts                                                            | TypeScript     |         39 |          0 |          3 |         42 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\charts\index.ts                                                                  | TypeScript     |         26 |          6 |          9 |         41 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\charts\types.ts                                                                  | TypeScript     |         33 |          0 |          3 |         36 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\dataDomain\index.ts                                                              | TypeScript     |         24 |          7 |          8 |         39 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\dataDomain\types.ts                                                              | TypeScript     |         15 |          0 |          3 |         18 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\dataElement\index.ts                                                             | TypeScript     |         29 |         11 |         11 |         51 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\dataElement\types.ts                                                             | TypeScript     |         26 |          1 |          3 |         30 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\dataSetDetail\index.ts                                                           | TypeScript     |         32 |          8 |          8 |         48 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\dataSetDetail\types.ts                                                           | TypeScript     |         31 |          0 |          5 |         36 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\dataSet\index.ts                                                                 | TypeScript     |         24 |          7 |          9 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\dataSet\types.ts                                                                 | TypeScript     |         20 |          0 |          3 |         23 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\diagnosis\index.ts                                                               | TypeScript     |         27 |          8 |          7 |         42 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\diagnosis\types.ts                                                               | TypeScript     |         23 |          0 |          3 |         26 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\dictionaryItem\index.ts                                                          | TypeScript     |         41 |          7 |          8 |         56 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\dictionaryItem\types.ts                                                          | TypeScript     |         30 |          0 |          3 |         33 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\dictionary\index.ts                                                              | TypeScript     |         27 |          8 |          9 |         44 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\dictionary\types.ts                                                              | TypeScript     |         17 |          0 |          3 |         20 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\labTest\index.ts                                                                 | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\labTest\types.ts                                                                 | TypeScript     |         29 |          0 |          3 |         32 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\medication\index.ts                                                              | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\medication\types.ts                                                              | TypeScript     |         24 |          0 |          3 |         27 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\orderSetDetail\index.ts                                                          | TypeScript     |         34 |          8 |          9 |         51 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\orderSetDetail\types.ts                                                          | TypeScript     |         26 |          0 |          5 |         31 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\orderSet\index.ts                                                                | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\orderSet\types.ts                                                                | TypeScript     |         19 |          0 |          4 |         23 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\scoreItem\index.ts                                                               | TypeScript     |         24 |          7 |          9 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\scoreItem\types.ts                                                               | TypeScript     |         17 |          0 |          3 |         20 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\scoreOption\index.ts                                                             | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\scoreOption\types.ts                                                             | TypeScript     |         18 |          0 |          3 |         21 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\scoreResult\index.ts                                                             | TypeScript     |         26 |          7 |          9 |         42 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\scoreResult\types.ts                                                             | TypeScript     |         28 |          0 |          3 |         31 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\score\index.ts                                                                   | TypeScript     |         30 |          7 |          9 |         46 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\score\types.ts                                                                   | TypeScript     |         28 |          0 |          3 |         31 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\treatOrderSet\index.ts                                                           | TypeScript     |         39 |          9 |         10 |         58 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\treatOrderSet\types.ts                                                           | TypeScript     |         21 |          0 |          5 |         26 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\treatment\index.ts                                                               | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\treatment\types.ts                                                               | TypeScript     |         62 |          0 |          4 |         66 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\valuationAlert\index.ts                                                          | TypeScript     |         30 |          8 |         11 |         49 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\valuationAlert\types.ts                                                          | TypeScript     |         41 |          0 |          2 |         43 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\valuationItem\index.ts                                                           | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\valuationItem\types.ts                                                           | TypeScript     |         44 |          0 |          3 |         47 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\valuationPart\index.ts                                                           | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\valuationPart\types.ts                                                           | TypeScript     |         38 |          0 |          3 |         41 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\valuationSection\index.ts                                                        | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\valuationSection\types.ts                                                        | TypeScript     |         31 |          0 |          3 |         34 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\valuationTreat\index.ts                                                          | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\valuationTreat\types.ts                                                          | TypeScript     |         29 |          0 |          3 |         32 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\valuation\index.ts                                                               | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\valuation\types.ts                                                               | TypeScript     |         36 |          0 |          3 |         39 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\vitalSignType\index.ts                                                           | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\vitalSignType\types.ts                                                           | TypeScript     |         21 |          0 |          2 |         23 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\vitalSign\index.ts                                                               | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\meta\vitalSign\types.ts                                                               | TypeScript     |         31 |          0 |          3 |         34 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\pay\app\index.ts                                                                      | TypeScript     |         31 |          8 |         10 |         49 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\pay\app\types.ts                                                                      | TypeScript     |         11 |          0 |          1 |         12 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\pay\channel\index.ts                                                                  | TypeScript     |         26 |          6 |          8 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\pay\channel\types.ts                                                                  | TypeScript     |         11 |          0 |          1 |         12 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\pay\merchant\index.ts                                                                 | TypeScript     |         36 |          8 |          9 |         53 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\pay\merchant\types.ts                                                                 | TypeScript     |          9 |          0 |          1 |         10 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\pay\order\index.ts                                                                    | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\pay\order\types.ts                                                                    | TypeScript     |         26 |          0 |          1 |         27 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\pay\refund\index.ts                                                                   | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\pay\refund\types.ts                                                                   | TypeScript     |         26 |          0 |          1 |         27 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizAmbuDisinfect\index.ts                                                         | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizAmbuDisinfect\types.ts                                                         | TypeScript     |         40 |          0 |          3 |         43 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizAmbuLocation\index.ts                                                          | TypeScript     |         29 |          8 |         10 |         47 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizAmbuLocation\types.ts                                                          | TypeScript     |         34 |          0 |          3 |         37 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizAmluDeviceMatch\index.ts                                                       | TypeScript     |         25 |          6 |          8 |         39 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizAmluDeviceMatch\types.ts                                                       | TypeScript     |         19 |          0 |          3 |         22 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizCase\index.ts                                                                  | TypeScript     |         11 |          3 |          1 |         15 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizDuty\index.ts                                                                  | TypeScript     |         30 |          8 |         11 |         49 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizDuty\types.ts                                                                  | TypeScript     |         25 |          0 |          4 |         29 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizEmergencyPatient\index.ts                                                      | TypeScript     |         33 |          8 |         10 |         51 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizEmergencyPatient\types.ts                                                      | TypeScript     |         71 |          0 |          3 |         74 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizEmergencyReferral\index.ts                                                     | TypeScript     |         43 |          9 |         12 |         64 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizEmergencyReferral\types.ts                                                     | TypeScript     |         84 |          0 |          5 |         89 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizEmergencyTreat\index.ts                                                        | TypeScript     |         17 |          4 |          6 |         27 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizEmergencyTreat\types.ts                                                        | TypeScript     |         25 |          0 |          1 |         26 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizEmergencyUnit\index.ts                                                         | TypeScript     |         35 |         14 |          5 |         54 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizEmergencyUnit\types.ts                                                         | TypeScript     |         49 |          0 |          3 |         52 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizEmergencyWorking\index.ts                                                      | TypeScript     |         22 |          4 |          4 |         30 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizEmergencyWorking\types.ts                                                      | TypeScript     |          4 |          0 |          1 |          5 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizEmergency\index.ts                                                             | TypeScript     |         32 |          8 |          8 |         48 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizEmergency\types.ts                                                             | TypeScript     |        172 |          0 |          3 |        175 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientAgreement\index.ts                                                      | TypeScript     |         43 |         12 |         11 |         66 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientAgreement\types.ts                                                      | TypeScript     |         25 |          0 |          3 |         28 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientAppointment\index.ts                                                    | TypeScript     |         24 |          7 |          9 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientAppointment\types.ts                                                    | TypeScript     |         56 |          0 |          3 |         59 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientCare\index.ts                                                           | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientCare\types.ts                                                           | TypeScript     |         32 |          0 |          3 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientCpr\index.ts                                                            | TypeScript     |          8 |          2 |          4 |         14 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientDashboard\index.ts                                                      | TypeScript     |         85 |         15 |          3 |        103 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientDiagnosis\index.ts                                                      | TypeScript     |         52 |         18 |         13 |         83 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientDiagnosis\types.ts                                                      | TypeScript     |         19 |          0 |          3 |         22 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientExtinfo\index.ts                                                        | TypeScript     |         33 |          8 |         10 |         51 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientExtinfo\types.ts                                                        | TypeScript     |         22 |          0 |          3 |         25 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientHistory\index.ts                                                        | TypeScript     |          8 |          2 |          4 |         14 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientImage\index.ts                                                          | TypeScript     |         55 |         16 |         18 |         89 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientImage\types.ts                                                          | TypeScript     |         13 |          0 |          3 |         16 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientInfo\index.ts                                                           | TypeScript     |         30 |          8 |          8 |         46 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientInfo\types.ts                                                           | TypeScript     |         66 |          0 |          3 |         69 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientMedication\index.ts                                                     | TypeScript     |         36 |          9 |         10 |         55 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientMedication\types.ts                                                     | TypeScript     |         22 |          0 |          3 |         25 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientModifyRecord\index.ts                                                   | TypeScript     |          8 |          1 |          1 |         10 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientOrder\index.ts                                                          | TypeScript     |         95 |         18 |         20 |        133 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientReferral\index.ts                                                       | TypeScript     |         37 |         10 |          9 |         56 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientReferral\types.ts                                                       | TypeScript     |         67 |          0 |          3 |         70 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientScoreItem\index.ts                                                      | TypeScript     |         28 |          7 |          9 |         44 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientScoreItem\types.ts                                                      | TypeScript     |         28 |          0 |          3 |         31 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientScore\index.ts                                                          | TypeScript     |         24 |          7 |          9 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientScore\types.ts                                                          | TypeScript     |         17 |          0 |          3 |         20 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientTime\index.ts                                                           | TypeScript     |         34 |          9 |         10 |         53 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientTime\types.ts                                                           | TypeScript     |          9 |          0 |          3 |         12 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientTreatment\index.ts                                                      | TypeScript     |         33 |          8 |         10 |         51 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientTreatment\types.ts                                                      | TypeScript     |         29 |          0 |          3 |         32 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientTriage\index.ts                                                         | TypeScript     |          5 |          1 |          3 |          9 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientValuation\index.ts                                                      | TypeScript     |         49 |         13 |         15 |         77 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientValuation\types.ts                                                      | TypeScript     |         19 |          0 |          3 |         22 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientVitalsign\index.ts                                                      | TypeScript     |         63 |         14 |         13 |         90 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatientVitalsign\types.ts                                                      | TypeScript     |         28 |          0 |          3 |         31 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatient\index.ts                                                               | TypeScript     |         94 |         20 |         17 |        131 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPatient\types.ts                                                               | TypeScript     |         65 |          0 |          3 |         68 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPrintCode\index.ts                                                             | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizPrintCode\types.ts                                                             | TypeScript     |         35 |          0 |          3 |         38 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizRequest\index.ts                                                               | TypeScript     |         29 |          8 |          9 |         46 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizRequest\types.ts                                                               | TypeScript     |         31 |          0 |          3 |         34 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizTalsListView\index.ts                                                          | TypeScript     |         15 |          4 |          3 |         22 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizTalsListView\type.ts                                                           | TypeScript     |         42 |          0 |          3 |         45 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizTaskAmbulance\index.ts                                                         | TypeScript     |         78 |         17 |         12 |        107 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizTaskAmbulance\types.ts                                                         | TypeScript     |         26 |          0 |          4 |         30 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizTaskQuery\index.ts                                                             | TypeScript     |         24 |          7 |          9 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizTaskQuery\types.ts                                                             | TypeScript     |          9 |          0 |          1 |         10 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizTask\index.ts                                                                  | TypeScript     |         74 |         19 |         17 |        110 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizTask\types.ts                                                                  | TypeScript     |         44 |          0 |          3 |         47 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizTastExitnspection\index.ts                                                     | TypeScript     |          5 |          2 |          2 |          9 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizTastExitnspection\types.ts                                                     | TypeScript     |          5 |          0 |          1 |          6 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizThreshold\index.ts                                                             | TypeScript     |          8 |          2 |          4 |         14 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\bizTransitPatients\index.ts                                                       | TypeScript     |         43 |          7 |          6 |         56 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicEmergencyType\index.ts                                                         | TypeScript     |         30 |          9 |         11 |         50 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicEmergencyType\types.ts                                                         | TypeScript     |         20 |          0 |          3 |         23 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicEmsBeacon\index.ts                                                             | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicEmsBeacon\types.ts                                                             | TypeScript     |         29 |          0 |          3 |         32 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicEmsDevice\index.ts                                                             | TypeScript     |         30 |          9 |         10 |         49 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicEmsDevice\types.ts                                                             | TypeScript     |         32 |          0 |          3 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicKnowledgeBase\index.ts                                                         | TypeScript     |         24 |          7 |          9 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicKnowledgeBase\types.ts                                                         | TypeScript     |         27 |          0 |          3 |         30 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicParserText\index.ts                                                            | TypeScript     |         24 |          7 |          9 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicParserText\types.ts                                                            | TypeScript     |         18 |          0 |          3 |         21 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicParser\index.ts                                                                | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicParser\types.ts                                                                | TypeScript     |         27 |          0 |          3 |         30 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicPatientBase\index.ts                                                           | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicPatientBase\types.ts                                                           | TypeScript     |         40 |          0 |          3 |         43 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicPatientExtinfo\index.ts                                                        | TypeScript     |         28 |          7 |          8 |         43 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicPatientExtinfo\types.ts                                                        | TypeScript     |         31 |          0 |          3 |         34 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicPatientValuation\index.ts                                                      | TypeScript     |         25 |          6 |          8 |         39 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicPatientValuation\types.ts                                                      | TypeScript     |         26 |          0 |          3 |         29 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicTaskTime\index.ts                                                              | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicTaskTime\types.ts                                                              | TypeScript     |         21 |          0 |          3 |         24 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicTemplatesType\index.ts                                                         | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicTemplatesType\types.ts                                                         | TypeScript     |         21 |          0 |          2 |         23 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicTemplates\index.ts                                                             | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\dicTemplates\types.ts                                                             | TypeScript     |         42 |          0 |          3 |         45 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\mdtChatRecord\index.ts                                                            | TypeScript     |         71 |         33 |         11 |        115 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\mdtChatRecord\types.ts                                                            | TypeScript     |         37 |          0 |          3 |         40 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\mdtGroupMember\index.ts                                                           | TypeScript     |         42 |         11 |         10 |         63 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\mdtGroupMember\types.ts                                                           | TypeScript     |         46 |          0 |          3 |         49 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\mdtGroupPeopleManagement\index.ts                                                 | TypeScript     |         33 |         10 |          4 |         47 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\phm\mdtGroupPeopleManagement\types.ts                                                 | TypeScript     |          6 |          0 |          2 |          8 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\screening\index.ts                                                                    | TypeScript     |         26 |          8 |          1 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\settings\aed\index.ts                                                                 | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\settings\aed\types.ts                                                                 | TypeScript     |         39 |          0 |          3 |         42 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\shine\index.ts                                                                        | TypeScript     |         61 |         11 |         15 |         87 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\stroke\index.ts                                                                       | TypeScript     |        104 |         42 |         15 |        161 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\system\bizApiToken\index.ts                                                           | TypeScript     |         21 |          6 |          8 |         35 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\system\bizApiToken\types.ts                                                           | TypeScript     |         16 |          0 |          3 |         19 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\system\configuration\index.ts                                                         | TypeScript     |         31 |          8 |         10 |         49 |
| e:\ECIC6\frontend\emss-ui-admin-vue3\src\api\system\configuration\types.ts                                                         | TypeScript     |         27 |          0 |          3 |         30 |
